LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-75.206209,39.9690387,4102,OGDEN ST,AB,,,,19104,886740095,6fe85ffddef02977
-75.2071252,39.9565177,4215,CHESTNUT ST,A,,,,19104,272012837,a9767341c0cbe589
-75.2071252,39.9565177,4215,CHESTNUT ST,B,,,,19104,272012839,46e6a17201df7dd2
-75.2071252,39.9565177,4215,CHESTNUT ST,C,,,,19104,272012841,a166854dac25162f
-75.2071252,39.9565177,4215,CHESTNUT ST,D,,,,19104,272012843,d916601b5ac1a0d4
-75.2071252,39.9565177,4215,CHESTNUT ST,E,,,,19104,272012845,c8568e93d32c52c8
-75.1907945,39.9572737,61-63,N 34TH ST,,,,,19104,885317880,b4613cc2f0876ce7
-75.196723,39.9662735,714,N 37TH ST,,,,,19104,243081500,d56705727886e7c8
-75.1948986,39.943977,697,UNIVERSITY AVE,,,,,19104,875100620,0c179cc3e23a29dd
-75.2076623,39.9723822,4120R-74,POPLAR ST,,,,,19104,062152400,22a9183b5cdc9b74
-75.206656,39.945981,7022,GLENMORE AVE,,,,,19104,875105290,74730f52332fe217
-75.2070844,39.9741453,4103,LEIDY AVE,,,,,19104,881819450,64b9ff8cb8130e38
-75.201641,39.9503163,3922,PINE ST,,,,,19104,773528900,ae414ab080f923c4
-75.2102135,39.9570563,4415,CHESTNUT ST,,,,,19104,882244000,a6618aca860f3fed
-75.1988088,39.9727768,1037,N 38TH ST,,,,,19104,875100360,622af581956c9113
-75.2009513,39.9603062,3914-38,BARING ST,,,,,19104,885982440,8d7d0a6420a59097
-75.2059013,39.9670074,4100,BROWN ST,AD,,,,19104,886740075,8bf289b421e1faa9
-75.2099274,39.9674978,820,N 43RD ST,,,,,19104,871511020,8a2f2fc7bef7c714
-75.2104487,39.9702249,916,N 43RD ST,,,,,19104,062316700,60a3fd4a3e64c84c
-75.2123655,39.9669792,801-17,N 45TH ST,,,,,19104,886810818,6e219611f774cba1
-75.2116465,39.9669948,809,LEX ST,,,,,19104,886810810,445ab931eca51939
-75.2038908,39.9677692,4012,RENO ST,,,,,19104,062397150,b07edd125d825af2
-75.205093,39.9737306,4020,W GIRARD AVE,,,,,19104,885070940,fc1f763c2ae32f0f
-75.1947437,39.9605536,3619-21,PEARL ST,,,,,19104,241158805,10111cce56dc646d
-75.2010069,39.962775,3939-41,LANCASTER AVE,,,,,19104,881428830,5c56c98c043ad54c
-75.1919066,39.9572076,3400,LANCASTER AVE,,,,,19104,885632700,df048a7dd95d6a16
-75.2086039,39.9499175,4229,BALTIMORE AVE,,,,,19104,881616401,76063d9635c6eac1
-75.2087097,39.9499181,4231,BALTIMORE AVE,,,,,19104,881616402,572855fa805014ae
-75.1978916,39.9636163,3811-13,HAVERFORD AVE,,,,,19104,242050410,314686cc08815759
-75.1851077,39.9521919,2929L,WALNUT ST,,,,,19104,883063410,e1f7a8ebc84cb628
-75.199484,39.9737303,3800,CAMBRIDGE ST,,,,,19104,243206900,0b01d9d5cbec30b6
-75.2115457,39.9536759,243,S 45TH ST,,,,,19104,881618505,164dbd7f2924dda3
-75.1887762,39.9611653,3207,PEARL ST,,,,,19104,241157800,06b890ddfb0a4ee6
-75.2103661,39.955341,4401-11,WALNUT ST,,,,,19104,881121800,b4a9a706d9b8d657
-75.1958421,39.9643895,631,N 37TH ST,,,,,19104,242176600,e5775de0618ee750
-75.20668,39.9582854,4215,FILBERT ST,,,,,19104,061010000,b660bb75d34ba661
-75.2040571,39.958296,4067,FILBERT ST,,,,,19104,061008300,a894d51cadf90743
-75.198523,39.9609011,3834,LANCASTER AVE,,,,,19104,871530120,33c2a10fea3f726f
-75.2017855,39.9679146,813,UNION ST,,,,,19104,243152610,4e7b4d36e0992678
-75.2039609,39.9698262,883,WIOTA ST,,,,,19104,062235000,70cf45279697502b
-75.2093629,39.9571582,19,S 44TH ST,,,,,19104,881850676,624e45bb5bc1a630
-75.2032232,39.9588513,4028,POWELTON AVE,,,,,19104,061011400,7761ece28c273309
-75.2030848,39.9604924,4017,BARING ST,,,,,19104,061027205,01cee1751dd0ecd1
-75.1963381,39.9637461,3707,HAVERFORD AVE,,,,,19104,881818713,87b2241a59c3b759
-75.1957594,39.9598808,3711,LANCASTER AVE,,,,,19104,241141900,43db8737d91044dd
-75.2012439,39.9662701,3930,ASPEN ST,,,,,19104,243039500,4214ca6362760ea7
-75.2024696,39.9676413,3959,BROWN ST,,,,,19104,243123910,ace2acfb18284ff8
-75.2049626,39.9593385,313,N 41ST ST,,,,,19104,886810066,6f7a8afa419ae0c0
-75.2022472,39.964458,639,N 40TH ST,,,,,19104,242242000,a413ef7adb3c8955
-75.1983753,39.9654382,3816-18,FAIRMOUNT AVE,,,,,19104,242124810,7a6a046c03021ed6
-75.196435,39.9673626,755,N 37TH ST,,,,,19104,243079100,5e7ec5ee0b238cc4
-75.2097917,39.9661078,738,N 43RD ST,,,,,19104,061287100,324194c90ed81379
-75.207148,39.9742264,4105,LEIDY AVE,,,,,19104,062194000,e43d825c583b9a0c
-75.2022783,39.9567511,16,S 40TH ST,,,,,19104,871535980,f11dc9c1d993c767
-75.2010445,39.9680651,3914,RENO ST,,,,,19104,243128400,95ba5ca3d4def448
-75.2014547,39.9543432,3925,WALNUT ST,,,,,19104,881600508,f3fe7874fbcbd7c2
-75.2117915,39.9520521,4423,PINE ST,,,,,19104,885634060,b67f46166fe9672b
-75.2049177,39.9743377,4020,PARKSIDE AVE,,,,,19104,062218500,476b83998d3d485e
-75.2066958,39.9493898,509,S 42ND ST,,,,,19104,881611000,774cc887e92cfa96
-75.205862,39.9661573,734-38,N 41ST ST,,,,,19104,884340665,ccbe5f2a34476125
-75.2016022,39.9551355,3926-38,CHESTNUT ST,,,,,19104,773687010,2f783b1de72305f8
