LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH,preciselyID,livingSquareFootage,saleAmount,buildingID,buildingType,elevation,maximumElevation,minimumElevation,buildingArea
-75.206209,39.9690387,4102,OGDEN ST,AB,Philadelphia,University City,West Philadelphia,19104,886740095,6fe85ffddef02977,,,,B000CTRV1G0R,Residential,113.0,114.0,112.0,912.0
-75.2071252,39.9565177,4215,CHESTNUT ST,A,Philadelphia,University City,West Philadelphia,19104,272012837,a9767341c0cbe589,P0000JCD8L2K,,,B000CTQ2IAN0,Mixed,76.0,87.0,73.0,55727.0
-75.2071252,39.9565177,4215,CHESTNUT ST,B,Philadelphia,University City,West Philadelphia,19104,272012839,46e6a17201df7dd2,P0000JCD8L2K,,,B000CTQ2IAN0,Mixed,76.0,87.0,73.0,55727.0
-75.2071252,39.9565177,4215,CHESTNUT ST,C,Philadelphia,University City,West Philadelphia,19104,272012841,a166854dac25162f,P0000JCD8L2K,,,B000CTQ2IAN0,Mixed,76.0,87.0,73.0,55727.0
-75.2071252,39.9565177,4215,CHESTNUT ST,D,Philadelphia,University City,West Philadelphia,19104,272012843,d916601b5ac1a0d4,P0000JCD8L2K,,,B000CTQ2IAN0,Mixed,76.0,87.0,73.0,55727.0
-75.2071252,39.9565177,4215,CHESTNUT ST,E,Philadelphia,University City,West Philadelphia,19104,272012845,c8568e93d32c52c8,P0000JCD8L2K,,,B000CTQ2IAN0,Mixed,76.0,87.0,73.0,55727.0
-75.1907945,39.9572737,61-63,N 34TH ST,,Philadelphia,University City,West Philadelphia,19104,885317880,b4613cc2f0876ce7,,,,B000CTQ2BMZ7,Unknown,79.0,80.0,78.0,754.0
-75.196723,39.9662735,714,N 37TH ST,,Philadelphia,University City,West Philadelphia,19104,243081500,d56705727886e7c8,P0000JCBUH09,1148.0,,B000CTQ2A75U,Residential,88.0,88.0,87.0,694.0
-75.1948986,39.943977,697,UNIVERSITY AVE,,Philadelphia,University City,West Philadelphia,19104,875100620,0c179cc3e23a29dd,P0000JCD8LC1,,,,,,,,
-75.2076623,39.9723822,4120R-74,POPLAR ST,,Philadelphia,University City,West Philadelphia,19104,62152400,22a9183b5cdc9b74,,,,B000CTQ2CKC7,Mixed,114.0,115.0,113.0,1040.0
-75.206656,39.945981,7022,GLENMORE AVE,,Philadelphia,University City,West Philadelphia,19104,875105290,74730f52332fe217,,,,,,,,,
-75.2070844,39.9741453,4103,LEIDY AVE,,Philadelphia,University City,West Philadelphia,19104,881819450,64b9ff8cb8130e38,P0000JCCWIZG,4980.0,6000.0,B000CTRV1QN9,Residential,105.0,106.0,104.0,1928.0
-75.201641,39.9503163,3922,PINE ST,,Philadelphia,University City,West Philadelphia,19104,773528900,ae414ab080f923c4,P0000JCBULQF,1920.0,,B000CTQ2E5BM,Residential,85.0,85.0,79.0,743.0
-75.2102135,39.9570563,4415,CHESTNUT ST,,Philadelphia,University City,West Philadelphia,19104,882244000,a6618aca860f3fed,P0000JCBUOJK,57300.0,320000.0,B000CTQ2EI9S,Residential,72.0,74.0,68.0,10981.0
-75.1988088,39.9727768,1037,N 38TH ST,,Philadelphia,University City,West Philadelphia,19104,875100360,622af581956c9113,P0000JCD8JRV,,,,,,,,
-75.2009513,39.9603062,3914-38,BARING ST,,Philadelphia,University City,West Philadelphia,19104,885982440,8d7d0a6420a59097,,,,,,,,,
-75.2059013,39.9670074,4100,BROWN ST,AD,Philadelphia,University City,West Philadelphia,19104,886740075,8bf289b421e1faa9,,,,B000CTRV1MPX,Residential,116.0,116.0,115.0,2008.0
-75.2099274,39.9674978,820,N 43RD ST,,Philadelphia,University City,West Philadelphia,19104,871511020,8a2f2fc7bef7c714,P0000JCBUKD5,1760.0,3581.0,B000CTQ2AFO6,Mixed,114.0,115.0,114.0,1179.0
-75.2104487,39.9702249,916,N 43RD ST,,Philadelphia,University City,West Philadelphia,19104,62316700,60a3fd4a3e64c84c,P0000JCD8JDK,,,,,,,,
-75.2123655,39.9669792,801-17,N 45TH ST,,Philadelphia,University City,West Philadelphia,19104,886810818,6e219611f774cba1,,,,B000CTQ2DS8M,Mixed,101.0,105.0,101.0,1149.0
-75.2116465,39.9669948,809,LEX ST,,Philadelphia,University City,West Philadelphia,19104,886810810,445ab931eca51939,P0000JCD8LQD,,,,,,,,
-75.2038908,39.9677692,4012,RENO ST,,Philadelphia,University City,West Philadelphia,19104,62397150,b07edd125d825af2,P0000JCBUFHI,1242.0,35000.0,B000CTQ2BAIP,Residential,111.0,111.0,108.0,1538.0
-75.205093,39.9737306,4020,W GIRARD AVE,,Philadelphia,University City,West Philadelphia,19104,885070940,fc1f763c2ae32f0f,P0000JCD8JK7,,170000.0,,,,,,
-75.1947437,39.9605536,3619-21,PEARL ST,,Philadelphia,University City,West Philadelphia,19104,241158805,10111cce56dc646d,,,,,,,,,
-75.2010069,39.962775,3939-41,LANCASTER AVE,,Philadelphia,University City,West Philadelphia,19104,881428830,5c56c98c043ad54c,,,,B000CTQ2FZKF,Residential,100.0,101.0,98.0,2848.0
-75.1919066,39.9572076,3400,LANCASTER AVE,,Philadelphia,University City,West Philadelphia,19104,885632700,df048a7dd95d6a16,P0000JCCWJL7,,,B000CTRV1HQ8,Unknown,82.0,88.0,69.0,68625.0
-75.2086039,39.9499175,4229,BALTIMORE AVE,,Philadelphia,University City,West Philadelphia,19104,881616401,76063d9635c6eac1,P0000JCD8LOK,3900.0,1050000.0,B000CTQ2DBUG,Residential,56.0,57.0,55.0,1895.0
-75.2087097,39.9499181,4231,BALTIMORE AVE,,Philadelphia,University City,West Philadelphia,19104,881616402,572855fa805014ae,P0000JCCWJYF,3900.0,1050000.0,B000CTQ2AFPV,Residential,56.0,57.0,55.0,1820.0
-75.1978916,39.9636163,3811-13,HAVERFORD AVE,,Philadelphia,University City,West Philadelphia,19104,242050410,314686cc08815759,,,,B000CTQ2F3JO,Residential,93.0,93.0,92.0,1301.0
-75.1851077,39.9521919,2929L,WALNUT ST,,Philadelphia,University City,West Philadelphia,19104,883063410,e1f7a8ebc84cb628,P0000JCMYM75,,,B000CTRV0ZCU,Unknown,13.0,13.0,13.0,211.0
-75.199484,39.9737303,3800,CAMBRIDGE ST,,Philadelphia,University City,West Philadelphia,19104,243206900,0b01d9d5cbec30b6,P0000JCD8JI3,,,,,,,,
-75.2115457,39.9536759,243,S 45TH ST,,Philadelphia,University City,West Philadelphia,19104,881618505,164dbd7f2924dda3,P0000JCBUOZC,9878.0,399000.0,B000CTQ2EY96,Residential,85.0,86.0,82.0,1295.0
-75.1887762,39.9611653,3207,PEARL ST,,Philadelphia,University City,West Philadelphia,19104,241157800,06b890ddfb0a4ee6,P0000JCBUKTE,1590.0,25000.0,B000CTQ2GAS4,Residential,84.0,86.0,82.0,964.0
-75.2103661,39.955341,4401-11,WALNUT ST,,Philadelphia,University City,West Philadelphia,19104,881121800,b4a9a706d9b8d657,,,,B000CTQ2JQKI,Mixed,63.0,70.0,62.0,24793.0
-75.1958421,39.9643895,631,N 37TH ST,,Philadelphia,University City,West Philadelphia,19104,242176600,e5775de0618ee750,P0000JCD8LLU,,1200.0,B000CTQ2I2CA,Mixed,102.0,104.0,100.0,2111.0
-75.20668,39.9582854,4215,FILBERT ST,,Philadelphia,University City,West Philadelphia,19104,61010000,b660bb75d34ba661,P0000JCBUE41,720.0,54000.0,B000CTRV0YLM,Residential,94.0,94.0,89.0,543.0
-75.2040571,39.958296,4067,FILBERT ST,,Philadelphia,University City,West Philadelphia,19104,61008300,a894d51cadf90743,P0000JCBUTKI,784.0,113000.0,B000CTQ2JDCC,Residential,91.0,92.0,89.0,612.0
-75.198523,39.9609011,3834,LANCASTER AVE,,Philadelphia,University City,West Philadelphia,19104,871530120,33c2a10fea3f726f,P0000JCBURXB,1860.0,,B000CTQ2FHMA,Unknown,104.0,107.0,104.0,805.0
-75.2017855,39.9679146,813,UNION ST,,Philadelphia,University City,West Philadelphia,19104,243152610,4e7b4d36e0992678,P0000JCD8L8V,,,,,,,,
-75.2039609,39.9698262,883,WIOTA ST,,Philadelphia,University City,West Philadelphia,19104,62235000,70cf45279697502b,P0000JCD8KOE,,6000.0,,,,,,
-75.2093629,39.9571582,19,S 44TH ST,,Philadelphia,University City,West Philadelphia,19104,881850676,624e45bb5bc1a630,P0000JCD8KUA,5035.0,255000.0,,,,,,
